Order ID,Order Date,Ship Mode,Customer ID,Customer Name,Segment,Country,Market,Category,Sales,Quantity,Profit,Shipping Cost,Order Priority,Elapsed Time,Day,Date,Month,Year
AG-2011-2040,2011-01-01,Standard Class,TB-11280,Toby Braunhardt,Consumer,Algeria,Africa,Office Supplies,408.3,2,106.14,35.46,Medium,5,Saturday,1,January,2011
IN-2011-47883,2011-01-01,Standard Class,JH-15985,Joseph Holt,Consumer,Australia,APAC,"Furniture, Office Supplies",289.28,10,89.15,16.22,Medium,7,Saturday,1,January,2011
HU-2011-1220,2011-01-01,Second Class,AT-10735,Annie Thurman,Consumer,Hungary,EMEA,Office Supplies,66.12,4,29.64,8.17,High,4,Saturday,1,January,2011
IT-2011-3647632,2011-01-01,Second Class,EM-14140,Eugene Moren,Home Office,Sweden,EU,Office Supplies,44.86,3,-26.06,4.82,High,4,Saturday,1,January,2011
IN-2011-30733,2011-02-01,Second Class,PO-18865,Patrick O'Donnell,Consumer,Bangladesh,APAC,"Office Supplies, Technology",369.45,13,102.69,77.5,Critical,2,Tuesday,1,February,2011
CA-2011-115161,2011-02-01,First Class,LC-17050,Liz Carlisle,Consumer,United States,US,Furniture,290.67,2,3.42,54.64,High,2,Tuesday,1,February,2011
AO-2011-1390,2011-02-01,Second Class,DK-13150,David Kendrick,Corporate,Angola,Africa,Office Supplies,206.4,1,92.88,53.08,Critical,3,Tuesday,1,February,2011
ID-2011-56493,2011-02-01,Second Class,SP-20650,Stephanie Phelps,Corporate,China,APAC,Office Supplies,162.72,3,68.31,44.36,Critical,2,Tuesday,1,February,2011
IN-2011-36074,2011-02-01,Second Class,DK-13150,David Kendrick,Corporate,China,APAC,Office Supplies,352.35,5,137.4,33.15,Medium,4,Tuesday,1,February,2011
US-2011-118892,2011-02-01,Standard Class,DH-13075,Dave Hallsten,Corporate,Panama,LATAM,"Office Supplies, Technology",492.26,10,-0.1,28.4,Medium,5,Tuesday,1,February,2011
IR-2011-65501,2011-02-01,Standard Class,PO-18850,Patrick O'Brill,Consumer,Iran,EMEA,Furniture,309.6,6,148.5,19.65,High,5,Tuesday,1,February,2011
ES-2011-52684391,2011-02-01,Second Class,GH-14485,Gene Hale,Corporate,France,EU,Office Supplies,161.04,6,15.3,22.57,High,2,Tuesday,1,February,2011
ES-2011-5460465,2011-02-01,Standard Class,RR-19315,Ralph Ritter,Consumer,Italy,EU,Office Supplies,78.3,3,20.34,6.03,Medium,4,Tuesday,1,February,2011
ES-2011-2205486,2011-02-01,Standard Class,IM-15055,Ionia McGrath,Consumer,Germany,EU,Office Supplies,32.88,5,14.73,2.79,Medium,6,Tuesday,1,February,2011
CA-2011-1800,2011-03-01,First Class,TP-11415,Tom Prescott,Consumer,Canada,Canada,"Furniture, Office Supplies, Technology",1345.44,15,311.67,260.4,High,3,Tuesday,1,March,2011
ES-2011-1705541,2011-03-01,Standard Class,TS-21370,Todd Sumrall,Corporate,United Kingdom,EU,"Furniture, Office Supplies",2250.72,15,675.75,243.74,High,5,Tuesday,1,March,2011
UP-2011-3730,2011-03-01,Standard Class,RD-19900,Ruben Dartt,Consumer,Ukraine,EMEA,"Furniture, Office Supplies, Technology",4144.65,28,832.95,293.52,Medium,4,Tuesday,1,March,2011
ES-2011-3893444,2011-03-01,Standard Class,TB-21400,Tom Boeckenhauer,Consumer,Germany,EU,Office Supplies,545.28,14,105.9,100.32,High,4,Tuesday,1,March,2011
CA-2011-113880,2011-03-01,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,US,"Furniture, Office Supplies",651.59,9,-166.44,71.99,High,4,Tuesday,1,March,2011
IN-2011-59986,2011-03-01,First Class,KH-16360,Katherine Hughes,Consumer,Australia,APAC,"Office Supplies, Technology",251.75,5,14.9,62.16,High,2,Tuesday,1,March,2011
CA-2011-104269,2011-03-01,Second Class,DB-13060,Dave Brooks,Consumer,United States,US,Furniture,457.57,2,51.48,47.89,Medium,5,Tuesday,1,March,2011
CA-2011-168312,2011-03-01,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,US,"Furniture, Office Supplies",513.86,6,-34.45,41.19,Medium,6,Tuesday,1,March,2011
CA-2011-131009,2011-03-01,Standard Class,SC-20380,Shahid Collister,Consumer,United States,US,"Furniture, Office Supplies",574.19,20,-61.15,42.65,Medium,4,Tuesday,1,March,2011
